profile_id,country_name,country_code,Q45,Q46,Q57,Q184,Q218,Q254
country_20,CAN,20,1.67,1.00,2.00,6.00,2.00,1.00
country_20,CAN,20,1.00,2.00,2.33,5.00,2.00,2.00
country_20,CAN,20,2.00,2.00,2.00,7.00,2.00,1.67
country_20,CAN,20,2.00,2.00,2.00,5.00,2.00,1.67
country_20,CAN,20,1.67,1.33,2.00,5.00,2.00,2.00
country_20,CAN,20,2.33,1.67,2.00,7.33,2.00,1.00
country_20,CAN,20,2.00,1.00,2.00,6.67,2.00,1.33
country_20,CAN,20,1.33,2.00,2.00,5.33,2.00,1.00
country_20,CAN,20,2.00,2.00,2.00,5.00,2.00,2.00
country_20,CAN,20,1.00,2.00,2.00,4.33,2.00,2.00
country_20,CAN,20,2.00,2.00,2.00,7.00,2.00,2.00
country_20,CAN,20,1.00,2.00,4.00,4.67,3.00,1.67
country_20,CAN,20,2.00,2.00,3.67,6.00,3.00,2.00
country_20,CAN,20,1.00,2.00,2.00,6.00,2.00,1.67
country_20,CAN,20,2.33,2.00,2.00,6.00,2.00,1.00
country_20,CAN,20,2.33,2.00,2.00,6.33,2.00,1.67
country_20,CAN,20,2.00,2.00,2.00,6.00,2.00,2.00
country_20,CAN,20,1.33,2.00,2.00,7.00,2.00,2.00
country_20,CAN,20,1.33,2.00,2.00,5.00,2.00,1.67
country_20,CAN,20,2.00,2.00,2.00,7.00,2.00,2.00
country_20,CAN,20,3.00,2.00,3.00,5.00,2.00,2.00
country_20,CAN,20,3.00,2.00,2.00,5.33,2.00,2.00
country_20,CAN,20,3.00,2.00,2.00,7.00,2.00,2.00
country_20,CAN,20,2.00,2.00,2.00,5.33,2.00,1.00
country_20,CAN,20,2.33,2.00,3.67,6.33,3.00,2.00
country_20,CAN,20,1.00,2.00,2.00,5.33,2.00,2.00
country_20,CAN,20,3.00,2.00,4.00,6.67,3.00,2.67
country_20,CAN,20,2.00,2.00,2.00,5.00,2.00,1.67
country_20,CAN,20,3.00,2.33,4.00,6.67,3.00,2.00
country_20,CAN,20,2.33,2.00,3.00,7.00,2.00,2.00
country_20,CAN,20,1.00,1.00,2.00,1.00,2.00,1.00
country_20,CAN,20,2.67,2.00,4.00,5.00,3.00,2.00
country_20,CAN,20,1.67,2.00,3.67,5.33,2.00,2.00
country_20,CAN,20,1.67,2.00,2.00,6.67,2.00,2.00
country_20,CAN,20,2.00,2.00,2.00,7.33,2.00,2.00
country_20,CAN,20,3.00,2.00,4.00,7.00,3.00,2.00
country_20,CAN,20,2.00,2.00,2.00,5.67,2.00,2.00
country_20,CAN,20,3.00,2.00,2.00,7.00,2.00,1.67
country_20,CAN,20,1.67,2.00,2.00,6.67,2.00,1.00
country_20,CAN,20,1.33,2.00,2.00,5.00,2.00,2.00
