Country,Abs Our-Survey Diff,Abs LLM-Survey Diff,Abs LLM-Our Diff
0,1.445,1.557,0.555
1,0.388,0.61,0.555
2,0.722,0.888,0.277
3,0.388,0.777,0.498
4,1.0,1.11,0.667
5,1.165,0.777,0.388
6,0.667,1.278,0.612
7,0.833,1.11,0.723
8,1.333,0.778,0.555
9,0.612,0.5,0.778
10,0.667,0.777,0.11
11,2.167,1.057,1.22
12,1.612,0.945,0.89
13,0.778,0.667,0.555
14,1.445,1.167,0.612
15,0.778,0.835,0.39
16,0.333,0.612,0.388
17,0.612,0.722,0.223
18,1.333,1.057,0.5
19,1.167,1.002,0.165
20,1.5,0.612,0.998
21,1.055,1.443,0.722
22,1.0,0.89,0.333
23,0.388,0.722,0.667
24,1.278,0.555,0.833
25,1.112,1.0,0.668
26,1.667,1.112,0.998
27,1.055,0.5,0.665
28,1.443,1.112,0.888
29,1.222,0.722,0.5
30,1.167,0.943,1.557
31,2.278,2.112,1.167
32,1.335,0.835,0.833
33,1.223,1.278,0.165
34,0.722,0.61,0.112
35,1.333,1.277,0.943
36,0.722,0.443,0.498
37,0.945,0.943,0.445
38,0.277,0.332,0.388
39,1.112,0.555,0.667
